#   N           Simpson's               Milne                 GSL
#-----------------------------------
689001 4.2775407213618e-14 2.2618229019804e-14 8.2035027532967e-15 
693001 5.0744524173964e-14  4.922101651978e-15 8.2035027532967e-15 
697001 2.5196472742268e-14 1.5235076541837e-15 8.2035027532967e-15 
701001 1.6407005506593e-14  2.894664542949e-14 8.2035027532967e-15 
705001 1.6289812610118e-14 1.2422447026421e-14 8.2035027532967e-15 
709001 1.8282091850204e-14 1.5821041024215e-14 8.2035027532967e-15 
713001 1.3828761784129e-14 1.9571213711436e-14 8.2035027532967e-15 
717001   7.03157378854e-16 2.9884188601295e-14 8.2035027532967e-15 
721001 7.2659595814913e-15  2.461050825989e-15 8.2035027532967e-15 
725001 1.4414726266507e-14 1.5235076541837e-14 8.2035027532967e-15 
729001 2.6485594603501e-14 4.3244178799521e-14 8.2035027532967e-15 
733001 2.6954366189403e-14 1.1484903854615e-14 8.2035027532967e-15 
737001  6.679995099113e-15 6.4456093061617e-15 8.2035027532967e-15 
741001 4.3830143281899e-14 1.4766304955934e-14 8.2035027532967e-15 
745001 2.6602787499976e-14 1.3477183094702e-14 8.2035027532967e-15 
749001 7.8519240638697e-15 2.7423137775306e-14 8.2035027532967e-15 
753001 5.8596448237833e-16 3.0001381497771e-14 8.2035027532967e-15 
757001                   0 2.1680685847998e-14 8.2035027532967e-15 
761001 2.3438579295133e-16 8.6722743391993e-15 8.2035027532967e-15 
765001 1.3828761784129e-14 5.3908732378807e-15 8.2035027532967e-15 
769001  1.675858419602e-14  8.437888546248e-15 8.2035027532967e-15 
773001 2.6954366189403e-15 6.7971879955887e-15 8.2035027532967e-15 
777001 1.6407005506593e-15 2.6016823017598e-14 8.2035027532967e-15 
781001 3.7032955286311e-14 2.2266650330377e-15 8.2035027532967e-15 
785001  3.164208204843e-14  2.461050825989e-14 8.2035027532967e-15 
789001 1.3359990198226e-14 9.2582388215777e-15 8.2035027532967e-15 
793001 3.3985939977943e-15 2.0039985297339e-14 8.2035027532967e-15 
797001 4.0197163491154e-14 3.2931203909662e-14 8.2035027532967e-15 
801001 1.8985249229058e-14 1.9454020814961e-14 8.2035027532967e-15 
805001 2.3555772191609e-14 2.8829452533014e-14 8.2035027532967e-15 
809001 8.5550814427237e-15 1.0781746475761e-14 8.2035027532967e-15 
813001 5.5080661343563e-15  1.757893447135e-14 8.2035027532967e-15 
817001 1.9219635022009e-14 1.4766304955934e-14 8.2035027532967e-15 
821001  2.461050825989e-15 3.2814011013187e-15 8.2035027532967e-15 
825001 2.3321386398658e-14 5.0392945484537e-15 8.2035027532967e-15 
829001 4.3361371695997e-15 3.7736112665165e-14 8.2035027532967e-15 
833001 1.5586655231264e-14 2.4376122466939e-14 8.2035027532967e-15 
837001 3.2696818116711e-14  7.383152477967e-15 8.2035027532967e-15 
841001 3.3985939977943e-15 1.5235076541837e-15 8.2035027532967e-15 
845001  5.625259030832e-15 1.1719289647567e-15 8.2035027532967e-15 
849001 1.1133325165188e-14 2.0391563986766e-14 8.2035027532967e-15 
853001 3.3282782599089e-14  8.437888546248e-15 8.2035027532967e-15 
857001 4.2423828524191e-14 3.6329797907457e-15 8.2035027532967e-15 
861001 4.3244178799521e-14 1.7813320264301e-14 8.2035027532967e-15 
865001 9.3754317180533e-16  7.383152477967e-15 8.2035027532967e-15 
869001 3.9845584801727e-15   3.51578689427e-16 8.2035027532967e-15 
873001 2.2383843226852e-14 1.8047706057253e-14 8.2035027532967e-15 
877001 2.4024543777512e-14 3.4689097356797e-14 8.2035027532967e-15 
881001 2.4844894052841e-14 1.3945954680604e-14 8.2035027532967e-15 
885001  1.136771095814e-14 1.1719289647567e-16 8.2035027532967e-15 
889001 3.2696818116711e-14 1.3945954680604e-14 8.2035027532967e-15 
893001 7.1487666850157e-15 9.0238530286263e-15 8.2035027532967e-15 
897001 1.5821041024215e-14  1.406314757708e-15 8.2035027532967e-15 
901001 2.3438579295133e-16  4.922101651978e-15 8.2035027532967e-15 
905001 3.9025234526397e-14  5.976837720259e-15 8.2035027532967e-15 
909001 2.0508756883242e-14 6.1877849339152e-14 8.2035027532967e-15 
913001 2.6368401707025e-14  2.109472136562e-15 8.2035027532967e-15 
917001 2.3438579295133e-16 1.3008411508799e-14 8.2035027532967e-15 
921001 1.0781746475761e-14 7.8519240638697e-15 8.2035027532967e-15 
925001 1.2305254129945e-14 1.9454020814961e-14 8.2035027532967e-15 
929001 1.4766304955934e-14 1.9922792400863e-14 8.2035027532967e-15 
933001 2.2383843226852e-14 6.4456093061617e-15 8.2035027532967e-15 
937001 1.2774025715848e-14 1.4414726266507e-14 8.2035027532967e-15 
941001  1.488349785241e-14 1.4297533370031e-14 8.2035027532967e-15 
945001 3.6329797907457e-15 2.5899630121122e-14 8.2035027532967e-15 
949001 7.7816083259843e-14 4.3361371695997e-15 8.2035027532967e-15 
953001 4.8049087555023e-15 4.0431549284105e-14 8.2035027532967e-15 
957001 1.5117883645361e-14 3.0001381497771e-14 8.2035027532967e-15 
961001 2.5782437224647e-15 2.9649802808344e-14 8.2035027532967e-15 
965001 6.7971879955887e-15 6.2112235132103e-15 8.2035027532967e-15 
969001 1.5469462334788e-14 3.0235767290722e-14 8.2035027532967e-15 
973001 8.5550814427237e-15 1.6875777092496e-14 8.2035027532967e-15 
977001 9.3754317180533e-16 4.3244178799521e-14 8.2035027532967e-15 
981001 3.3985939977943e-15 5.3908732378807e-15 8.2035027532967e-15 
985001 2.7071559085879e-14 3.1173310462527e-14 8.2035027532967e-15 
989001 2.2266650330377e-15 3.2814011013187e-15 8.2035027532967e-15 
993001  4.218944273124e-15 5.4729082654136e-14 8.2035027532967e-15 
997001 1.0312974889859e-14 7.8519240638697e-15 8.2035027532967e-15 
1001001 5.0744524173964e-14 1.8750863436107e-14 8.2035027532967e-15 
1005001 3.9025234526397e-14 5.1096102863391e-14 8.2035027532967e-15 
1009001 1.2070868336994e-14 1.3711568887653e-14 8.2035027532967e-15 
1013001 3.8908041629921e-14  3.246243232376e-14 8.2035027532967e-15 
1017001 2.2969807709231e-14 3.1290503359003e-14 8.2035027532967e-15 
1021001 1.1719289647567e-16 9.6098175110047e-15 8.2035027532967e-15 
1025001 2.1563492951523e-14 9.2582388215777e-15 8.2035027532967e-15 
1029001 2.1446300055047e-14 2.1329107158571e-14 8.2035027532967e-15 
1033001 7.6175382709183e-15  9.141045925102e-15 8.2035027532967e-15 
1037001 2.3204193502182e-14 1.7696127367826e-14 8.2035027532967e-15 
1041001 1.6875777092496e-14 1.2070868336994e-14 8.2035027532967e-15 
1045001 3.3048396806138e-14 8.3206956497723e-15 8.2035027532967e-15 
1049001 3.7501726872213e-14 6.0940306167347e-15 8.2035027532967e-15 
1053001 5.7190133480125e-14 1.7930513160777e-14 8.2035027532967e-15 
1057001 6.4456093061617e-15 3.2110853634333e-14 8.2035027532967e-15 
1061001 1.1719289647567e-16   3.51578689427e-15 8.2035027532967e-15 
1065001  1.054736068281e-15 3.3282782599089e-14 8.2035027532967e-15 
1069001 1.3477183094702e-14 5.4611889757661e-14 8.2035027532967e-15 
1073001 1.9922792400863e-15 1.0312974889859e-14 8.2035027532967e-15 
1077001 1.1016132268713e-14 2.5782437224647e-15 8.2035027532967e-15 
1081001 1.2891218612323e-15 1.6055426817166e-14 8.2035027532967e-15 
1085001 2.8243488050636e-14 2.5665244328171e-14 8.2035027532967e-15 
1089001 1.6524198403069e-14 1.1719289647567e-14 8.2035027532967e-15 
1093001 2.8477873843587e-14 2.0157178193815e-14 8.2035027532967e-15 
1097001 2.1446300055047e-14  1.757893447135e-14 8.2035027532967e-15 
1101001  2.543085853522e-14 4.4533300660753e-15 8.2035027532967e-15 
1105001 3.2814011013187e-14 2.8829452533014e-14 8.2035027532967e-15 
1109001 1.2070868336994e-14 1.3711568887653e-14 8.2035027532967e-15 
1113001 3.6681376596884e-14 1.0664553579286e-14 8.2035027532967e-15 
1117001  4.218944273124e-15 3.6915762389835e-14 8.2035027532967e-15 
1121001 2.6954366189403e-14 3.5861026321554e-14 8.2035027532967e-15 
1125001 1.1719289647567e-16 2.0157178193815e-14 8.2035027532967e-15 
1129001  4.488487935018e-14 2.3087000605706e-14 8.2035027532967e-15 
1133001 1.4766304955934e-14  1.488349785241e-14 8.2035027532967e-15 
1137001 2.7071559085879e-14 5.9416798513163e-14 8.2035027532967e-15 
1141001  1.054736068281e-15 1.2891218612323e-15 8.2035027532967e-15 
