#                  N           Simpson's               Milne                 GSL
#-----------------------------------
     5.4548463838461    -14.067775851704     -14.08600067181     -14.08600067181 
      5.460899345503    -14.675826206721    -14.012020619448     -14.08600067181 
     5.4668691025853     -14.01728485944    -13.859216704518     -14.08600067181 
     5.4727579115857    -13.797559803454    -13.668647622094     -14.08600067181 
     5.4785679384303    -13.862912850078    -13.625747342377     -14.08600067181 
     5.4843012632608    -13.576990272677    -13.844738881149     -14.08600067181 
     5.4899598849063     -15.63006871616     -14.19073602233     -14.08600067181 
     5.4955457250665    -13.726978729168    -13.645541402816     -14.08600067181 
     5.5010606322297    -13.688060663138    -14.249857474448     -14.08600067181 
     5.5065063853451    -13.866640722597    -13.778810367441     -14.08600067181 
     5.5118846972675    -14.516125363853    -13.690549463541     -14.08600067181 
      5.517197217992    -13.632245635414    -14.033471620534     -14.08600067181 
      5.522445537692    -13.683125445462    -14.050285119543     -14.08600067181 
     5.5276311895771     -13.96261576327    -13.760836996429     -14.08600067181 
     5.5327556525815     -13.71891110742     -13.71361476761     -14.08600067181 
      5.537820353896    -13.573163864824    -13.862912850078     -14.08600067181 
     5.5428266713542    -14.329038720496    -14.223528535726     -14.08600067181 
     5.5477759356821    -13.690549463541    -13.721583697281     -14.08600067181 
     5.5526694326216    -14.092249621087    -13.643296981894     -14.08600067181 
     5.5575084049358    -14.182910684818    -13.661585767606     -14.08600067181 
     5.5622940543027    -13.922498540062     -14.19073602233     -14.08600067181 
     5.5670275431073    -13.468700713925    -14.249857474448     -14.08600067181 
     5.5717099961355    -14.277886198049    -13.547283345844     -14.08600067181 
      5.576342502179    -14.362896987757    -13.841193600385     -14.08600067181 
     5.5809261155547    -14.755007452768    -13.576990272677     -14.08600067181 
     5.5854618575447    -14.028008724832    -14.675826206721     -14.08600067181 
     5.5899507177625    -13.721583697281    -14.050285119543     -14.08600067181 
      5.594393655449    -13.901714934139     -13.99660026058     -14.08600067181 
     5.5987916007025    -13.724272835792    -13.615128366367     -14.08600067181 
     5.6031454556475    -14.425948733504    -13.893672213883     -14.08600067181 
     5.6074560955454    -14.223528535726    -13.986616039674     -14.08600067181 
     5.6117243698507    -15.931098711824    -14.198704952001     -14.08600067181 
     5.6159511032156    -13.897674956337    -14.006819425762     -14.08600067181 
     5.6201370964461    -14.092249621087     -14.60887941709     -14.08600067181 
     5.6242831274128    -14.056037448432    -13.855551750432     -14.08600067181 
     5.6283899519185    -13.617231491455    -13.820509001525     -14.08600067181 
      5.632458304525     -14.00167978611    -15.931098711824     -14.08600067181 
     5.6364888993418    -13.803993913459    -14.516125363853     -14.08600067181 
     5.6404824307782    -13.543708885485    -13.986616039674     -14.08600067181 
     5.6444395742615    -14.588676031002    -14.399619794782     -14.08600067181 
     5.6483609869225    -13.547283345844    -13.772736219729     -14.08600067181 
     5.6522473082505    -13.659257105288    -14.098589799118     -14.08600067181 
     5.6560991607192     -13.71361476761    -13.688060663138     -14.08600067181 
      5.659917150385    -13.775762674359    -13.935463517226     -14.08600067181 
     5.6637018674591    -13.794378144668    -13.953375106535     -14.08600067181 
     5.6674538868556    -13.862912850078     -14.60887941709     -14.08600067181 
     5.6711737687151     -14.19073602233    -14.182910684818     -14.08600067181 
      5.674862058907     -14.19073602233    -13.893672213883     -14.08600067181 
     5.6785192895098    -13.757912443412    -13.501346431822     -14.08600067181 
      5.682145979272    -14.516125363853    -14.533158703152     -14.08600067181 
     5.6857426340539    -14.105023909123    -14.851917465776     -14.08600067181 
     5.6893097472505    -13.668647622094    -13.878020268341     -14.08600067181 
     5.6928478001982    -14.079840363105    -13.688060663138     -14.08600067181 
     5.6963572625644    -13.981708705179    -14.105023909123     -14.08600067181 
     5.6998385927216    -14.167670718261    -14.175223856152     -14.08600067181 
     5.7032922381069    -13.619344850768    -14.105023909123     -14.08600067181 
     5.7067186355667    -14.399619794782    -13.878020268341     -14.08600067181 
     5.7101182116889    -13.976856202385     -14.19073602233     -14.08600067181 
     5.7134913831211    -13.889706026666    -14.167670718261     -14.08600067181 
     5.7168385568774    -14.277886198049    -14.138707022326     -14.08600067181 
     5.7201601306328    -13.446798872477    -14.006819425762     -14.08600067181 
      5.723456493007    -14.232128707488    -14.105023909123     -14.08600067181 
     5.7267280238372    -14.287646035338     -13.71891110742     -14.08600067181 
     5.7299750944409    -13.538401758564    -14.182910684818     -14.08600067181 
     5.7331980678683    -13.700649790446    -13.905792846559     -14.08600067181 
     5.7363972991465    -13.972057319503     -13.49652980779     -14.08600067181 
      5.739573135514    -14.268340880142    -14.399619794782     -14.08600067181 
     5.7427259166466    -13.922498540062    -13.531424990343     -14.08600067181 
     5.7458559748759    -13.499734947665    -13.617231491455     -14.08600067181 
     5.7489636353989    -14.006819425762     -14.15294746144     -14.08600067181 
     5.7520492164816    -13.451091768867    -13.935463517226     -14.08600067181 
