# omega0=1, alpha=0.2
# theta0=0.8, theta_dot0=0
# t_start=0, t_end=100, h=0.00911928
#   t          x(t)                 v(t)       
4.584263068097481e+01 3.810249738712275e-01 2.171351811145696e-02
4.593382350110804e+01 3.822596929657049e-01 5.359944743813163e-03
4.602501632124127e+01 3.820023418361451e-01 -1.100050404652320e-02
4.611620914137450e+01 3.802548632222803e-01 -2.731146574549297e-02
4.620740196150773e+01 3.770243418618380e-01 -4.351652093480438e-02
4.629859478164096e+01 3.723230121643418e-01 -5.955914168024266e-02
4.638978760177419e+01 3.661682696693055e-01 -7.538266159982596e-02
4.648098042190742e+01 3.585826839262111e-01 -9.093027592484966e-02
4.657217324204065e+01 3.495940097185792e-01 -1.061450788813828e-01
4.666336606217388e+01 3.392351929405573e-01 -1.209701444884967e-01
4.675455888230711e+01 3.275443669433379e-01 -1.353486554121228e-01
4.684575170244034e+01 3.145648348198521e-01 -1.492240828560900e-01
4.693694452257357e+01 3.003450329063130e-01 -1.625404186485709e-01
4.702813734270680e+01 2.849384707615565e-01 -1.752424587358956e-01
4.711933016284003e+01 2.684036430486270e-01 -1.872761352791374e-01
4.721052298297326e+01 2.508039090913279e-01 -1.985888925243159e-01
4.730171580310649e+01 2.322073364090488e-01 -2.091300996553094e-01
4.739290862323972e+01 2.126865052368954e-01 -2.188514920169878e-01
4.748410144337295e+01 1.923182718985155e-01 -2.277076304954022e-01
4.757529426350618e+01 1.711834898922241e-01 -2.356563675421532e-01
4.766648708363941e+01 1.493666886461831e-01 -2.426593074057798e-01
4.775767990377264e+01 1.269557110582357e-01 -2.486822476477627e-01
4.784887272390587e+01 1.040413121182036e-01 -2.536955890219474e-01
4.794006554403910e+01 8.071672206927008e-02 -2.576747013103112e-01
4.803125836417233e+01 5.707717865345995e-02 -2.606002337367455e-01
4.812245118430556e+01 3.321943395817992e-02 -2.624583600986138e-01
4.821364400443879e+01 9.241242193894533e-03 -2.632409507106264e-01
4.830483682457202e+01 -1.475916464916996e-02 -2.629456655687127e-01
4.839602964470525e+01 -3.868360592312446e-02 -2.615759657128230e-01
4.848722246483848e+01 -6.243447872874045e-02 -2.591410424804645e-01
4.857841528497171e+01 -8.591527420810262e-02 -2.556556670715452e-01
4.866960810510494e+01 -1.090310766671072e-01 -2.511399654627814e-01
4.876080092523817e+01 -1.316890390417683e-01 -2.456191260962406e-01
4.885199374537140e+01 -1.537988289957075e-01 -2.391230498155243e-01
4.894318656550463e+01 -1.752730408777381e-01 -2.316859531491001e-01
4.903437938563786e+01 -1.960275698365883e-01 -2.233459371828517e-01
4.912557220577109e+01 -2.159819455387234e-01 -2.141445348900552e-01
4.921676502590432e+01 -2.350596241174093e-01 -2.041262498916146e-01
4.930795784603755e+01 -2.531882381498042e-01 -1.933380992236562e-01
4.939915066617078e+01 -2.702998055702108e-01 -1.818291718375270e-01
4.949034348630401e+01 -2.863308994427670e-01 -1.696502133111797e-01
4.958153630643724e+01 -3.012227814032259e-01 -1.568532456860567e-01
4.967272912657047e+01 -3.149215023117247e-01 -1.434912295424624e-01
4.976392194670370e+01 -3.273779742188914e-01 -1.296177734735958e-01
4.985511476683693e+01 -3.385480181262178e-01 -1.152868940958489e-01
4.994630758697016e+01 -3.483923922154896e-01 -1.005528277162946e-01
5.003750040710339e+01 -3.568768052348574e-01 -8.546989283412385e-02
5.012869322723662e+01 -3.639719195701160e-01 -7.009240083734865e-02
5.021988604736985e+01 -3.696533482128149e-01 -5.447461061452066e-02
5.031107886750308e+01 -3.739016493794566e-01 -3.867072136810772e-02
5.040227168763631e+01 -3.767023219584748e-01 -2.273489671644631e-02
5.049346450776954e+01 -3.780458042860126e-01 -6.721312221618181e-03
5.058465732790278e+01 -3.779274780010771e-01 9.315782208634431e-03
5.067585014803601e+01 -3.763476779294229e-01 2.532199402054816e-02
5.076704296816924e+01 -3.733117081178434e-01 4.124272294776097e-02
5.085823578830247e+01 -3.688298633107237e-01 5.702310820141709e-02
5.094942860843570e+01 -3.629174543528727e-01 7.260799656778583e-02
5.104062142856893e+01 -3.555948352405284e-01 8.794193943473332e-02
5.113181424870216e+01 -3.468874288491694e-01 1.029692258893379e-01
5.122300706883539e+01 -3.368257477646185e-01 1.176339579116558e-01
5.131419988896862e+01 -3.254454061539586e-01 1.318801723501378e-01
5.140539270910185e+01 -3.127871182542715e-01 1.456520128245921e-01
5.149658552923508e+01 -2.988966788471406e-01 1.588939529925222e-01
5.158777834936831e+01 -2.838249210390802e-01 1.715510707725152e-01
5.167897116950154e+01 -2.676276467925113e-01 1.835693711919532e-01
5.177016398963477e+01 -2.503655259537264e-01 1.948961535730934e-01
5.186135680976800e+01 -2.321039600029683e-01 2.054804168577575e-01
5.195254962990123e+01 -2.129129074003899e-01 2.152732950698273e-01
5.204374245003446e+01 -1.928666682064634e-01 2.242285133041487e-01
5.213493527016769e+01 -1.720436265954135e-01 2.323028532885816e-01
5.222612809030092e+01 -1.505259509275235e-01 2.394566165671553e-01
5.231732091043415e+01 -1.283992521663379e-01 2.456540727619501e-01
5.240851373056738e+01 -1.057522025801707e-01 2.508638802406221e-01
5.249970655070061e+01 -8.267611781035861e-02 2.550594668775852e-01
5.259089937083384e+01 -5.926450647594021e-02 2.582193594589696e-01
5.268209219096707e+01 -3.561259247073941e-02 2.603274516281166e-01
5.277328501110030e+01 -1.181681595177436e-02 2.613732020564936e-01
5.286447783123353e+01 1.202568031982981e-02 2.613517566859060e-01
5.295567065136676e+01 3.581757217266082e-02 2.602639913305600e-01
5.304686347149999e+01 5.946187542074619e-02 2.581164735431512e-01
5.313805629163322e+01 8.286246015017634e-02 2.549213453177628e-01
5.322924911176645e+01 1.059245508484989e-01 2.506961308003062e-01
5.332044193189968e+01 1.285552058207605e-01 2.454634755849422e-01
5.341163475203291e+01 1.506637700347988e-01 2.392508262843381e-01
5.350282757216614e+01 1.721622964123720e-01 2.320900607827265e-01
5.359402039229937e+01 1.929659315933090e-01 2.240170808465106e-01
5.368521321243260e+01 2.129932633034586e-01 2.150713795366470e-01
5.377640603256583e+01 2.321666276077355e-01 2.052955961263872e-01
5.386759885269906e+01 2.504123754808359e-01 1.947350709894424e-01
5.395879167283229e+01 2.676610992363000e-01 1.834374122229716e-01
5.404998449296552e+01 2.838478203797627e-01 1.714520846619847e-01
5.414117731309875e+01 2.989121413604005e-01 1.588300304961861e-01
5.423237013323198e+01 3.127983644584881e-01 1.456233289953074e-01
5.432356295336521e+01 3.254555816466791e-01 1.318849009667223e-01
5.441475577349844e+01 3.368377396857055e-01 1.176682615907321e-01
5.450594859363167e+01 3.469036849563817e-01 1.030273232806448e-01
5.459714141376490e+01 3.556171925905078e-01 8.801624826513425e-02
5.468833423389813e+01 3.629469843506626e-01 7.268934874828938e-02
5.477952705403136e+01 3.688667394350937e-01 5.710103081672796e-02
5.487071987416459e+01 3.733551019649582e-01 4.130577677134795e-02
5.496191269429782e+01 3.763956883661679e-01 2.535815929233611e-02
5.505310551443105e+01 3.779770972083205e-01 9.312879820271385e-03
5.514429833456428e+01 3.780929233315148e-01 -6.775177232942025e-03
5.523549115469751e+01 3.767417773020560e-01 -2.285088333379580e-02
5.532668397483074e+01 3.739273104145334e-01 -3.885880686313099e-02
5.541787679496397e+01 3.696582446251255e-01 -5.474316542858896e-02
5.550906961509720e+01 3.639484059838696e-01 -7.044779823920373e-02
5.560026243523043e+01 3.568167593564605e-01 -8.591616675725795e-02
5.569145525536366e+01 3.482874415128962e-01 -1.010913910122420e-01
5.578264807549689e+01 3.383897890342495e-01 -1.159163278814656e-01
5.587384089563012e+01 3.271583569721855e-01 -1.303336963261892e-01
5.596503371576335e+01 3.146329238091354e-01 -1.442862530419940e-01
5.605622653589658e+01 3.008584780285801e-01 -1.577170202662349e-01
5.614741935602981e+01 2.858851815299882e-01 -1.705695656216503e-01
5.623861217616304e+01 2.697683052229721e-01 -1.827883319113692e-01
5.632980499629628e+01 2.525681324167232e-01 -1.943190127746741e-01
5.642099781642951e+01 2.343498260845953e-01 -2.051089681325473e-01
5.651219063656274e+01 2.151832567240907e-01 -2.151076714727598e-01
5.660338345669597e+01 1.951427883366025e-01 -2.242671793267492e-01
5.669457627682920e+01 1.743070209987560e-01 -2.325426118568855e-01
5.678576909696243e+01 1.527584895603649e-01 -2.398926323817939e-01
5.687696191709566e+01 1.305833191483336e-01 -2.462799129895211e-01
5.696815473722889e+01 1.078708393409277e-01 -2.516715731798179e-01
5.705934755736212e+01 8.471316005804805e-02 -2.560395787748357e-01
5.715054037749535e+01 6.120471334346061e-02 -2.593610891556950e-01
5.724173319762858e+01 3.744176624732057e-02 -2.616187422076940e-01
5.733292601776181e+01 1.352191090717191e-02 -2.628008681485580e-01
5.742411883789504e+01 -1.045646136671101e-02 -2.629016256041082e-01
5.751531165802827e+01 -3.439469470254573e-02 -2.619210557919673e-01
5.760650447816150e+01 -5.819440441993208e-02 -2.598650533649854e-01
5.769769729829473e+01 -8.175800636332341e-02 -2.567452552279793e-01
5.778889011842796e+01 -1.049892324989925e-01 -2.525788513451408e-01
5.788008293856119e+01 -1.277936259415142e-01 -2.473883240754356e-01
5.797127575869442e+01 -1.500790092759072e-01 -2.412011247950267e-01
5.806246857882765e+01 -1.717559209269635e-01 -2.340492983929535e-01
5.815366139896088e+01 -1.927380153584551e-01 -2.259690675863318e-01
5.824485421909411e+01 -2.129424240169589e-01 -2.170003898486539e-01
5.833604703922734e+01 -2.322900751202209e-01 -2.071865000621825e-01
5.842723985936057e+01 -2.507059715802378e-01 -1.965734518033497e-01
5.851843267949380e+01 -2.681194275006388e-01 -1.852096694837609e-01
5.860962549962703e+01 -2.844642647547366e-01 -1.731455224547969e-01
5.870081831976026e+01 -2.996789720989115e-01 -1.604329307123433e-01
5.879201113989349e+01 -3.137068300768817e-01 -1.471250100911551e-01
5.888320396002672e+01 -3.264960056026838e-01 -1.332757629014307e-01
5.897439678015995e+01 -3.379996205603965e-01 -1.189398179182582e-01
5.906558960029318e+01 -3.481757990209280e-01 -1.041722215677862e-01
5.915678242042641e+01 -3.569876977516420e-01 -8.902828013434301e-02
5.924797524055964e+01 -3.644035245904113e-01 -7.356345090236520e-02
5.933916806069287e+01 -3.703965489842828e-01 -5.783327839707566e-02
5.943036088082610e+01 -3.749451085708135e-01 -4.189337033867541e-02
5.952155370095933e+01 -3.780326151270988e-01 -2.579940660657057e-02
5.961274652109256e+01 -3.796475625496133e-01 -9.607173444235194e-03
5.970393934122579e+01 -3.797835387809619e-01 6.627385664159487e-03
5.979513216135902e+01 -3.784392427921868e-01 2.284811153877762e-02
5.988632498149225e+01 -3.756185068867011e-01 3.899857260967741e-02
5.997751780162548e+01 -3.713303237397410e-01 5.502201928704156e-02
6.006871062175871e+01 -3.655888767509379e-01 7.086135838686987e-02
6.015990344189194e+01 -3.584135714924611e-01 8.645915601489927e-02
6.025109626202517e+01 -3.498290653059345e-01 1.017576764556498e-01
6.034228908215840e+01 -3.398652914619594e-01 1.166989635003755e-01
6.043348190229163e+01 -3.285574737693674e-01 1.312249692929393e-01
6.052467472242486e+01 -3.159461271283767e-01 1.452777341983594e-01
6.061586754255809e+01 -3.020770392813251e-01 1.587996194351687e-01
6.070706036269132e+01 -2.870012289421592e-01 1.717335922993016e-01
6.079825318282455e+01 -2.707748755928265e-01 1.840235617937565e-01
