#  N   trapezoid     Simpsons     3/8      Gauss  
#-----------------------------------------
2.850646e+00  -6.340092e+00  -6.526726e+00  -7.097897e+00  -6.759172e+00
2.854306e+00  -7.097897e+00  -6.130844e+00  -6.171001e+00  -6.171001e+00
2.857935e+00  -7.839390e+00  -5.990230e+00  -7.839390e+00  -6.236397e+00
2.861534e+00  -6.759172e+00  -6.526726e+00  -6.692373e+00  -6.340092e+00
2.865104e+00  -6.526726e+00  -6.114175e+00  -6.571210e+00  -6.571210e+00
2.868644e+00  -6.759172e+00  -6.692373e+00  -6.440455e+00  -6.571210e+00
2.872156e+00  -6.313417e+00  -6.114175e+00  -7.839390e+00  -6.440455e+00
2.875640e+00  -6.407105e+00  -6.078749e+00  -6.963499e+00  -5.916735e+00
2.879096e+00  -6.963499e+00  -6.114175e+00  -6.190052e+00  -7.097897e+00
2.882525e+00  -6.407105e+00  -6.313417e+00  -6.963499e+00  -6.692373e+00
2.885926e+00  -6.171001e+00  -6.236397e+00  -7.097897e+00  -7.097897e+00
2.889302e+00  -6.407105e+00  -6.526726e+00  -7.097897e+00  -6.236397e+00
2.892651e+00  -6.963499e+00  -6.571210e+00  -7.097897e+00  -6.526726e+00
2.895975e+00  -7.097897e+00  -6.236397e+00  -6.440455e+00  -6.190052e+00
2.899273e+00  -7.839390e+00  -6.759172e+00  -7.839390e+00  -6.407105e+00
2.902547e+00  -6.340092e+00  -6.340092e+00  -6.407105e+00  -6.526726e+00
2.905796e+00  -6.759172e+00  -6.340092e+00  -6.063932e+00  -6.526726e+00
2.909021e+00  -6.407105e+00  -5.951930e+00  -6.313417e+00  -6.407105e+00
2.912222e+00  -6.692373e+00  -6.130844e+00  -6.759172e+00  -6.171001e+00
2.915400e+00  -6.258624e+00  -6.313417e+00  -7.839390e+00  -6.526726e+00
2.918555e+00  -7.097897e+00  -7.839390e+00  -6.236397e+00  -7.097897e+00
2.921686e+00  -6.313417e+00  -6.526726e+00  -6.114175e+00  -7.839390e+00
2.924796e+00  -5.750289e+00  -6.526726e+00  -7.839390e+00  -6.759172e+00
2.927883e+00  -6.340092e+00  -6.236397e+00  -6.692373e+00  -6.340092e+00
2.930949e+00  -7.097897e+00  -6.692373e+00  -6.692373e+00  -6.340092e+00
2.933993e+00  -6.078749e+00  -6.313417e+00  -6.526726e+00  -7.097897e+00
2.937016e+00  -6.078749e+00  -6.692373e+00  -6.526726e+00  -6.963499e+00
2.940018e+00  -7.839390e+00  -6.313417e+00  -6.032238e+00  -6.759172e+00
2.943000e+00  -6.963499e+00  -6.313417e+00  -6.407105e+00  -6.526726e+00
2.945961e+00  -6.130844e+00  -5.884180e+00  -5.990230e+00  -6.236397e+00
2.948902e+00  -6.759172e+00  -6.692373e+00  -6.526726e+00  -7.097897e+00
2.951823e+00  -7.839390e+00  -6.963499e+00  -5.951930e+00  -6.114175e+00
2.954725e+00  -6.190052e+00  -6.526726e+00  -6.963499e+00  -6.963499e+00
2.957607e+00  -6.407105e+00  -6.171001e+00  -6.571210e+00  -5.825587e+00
2.960471e+00  -6.313417e+00  -6.130844e+00  -7.097897e+00  -6.759172e+00
2.963316e+00  -6.171001e+00  -6.759172e+00  -6.340092e+00  -5.906478e+00
2.966142e+00  -6.759172e+00  -6.759172e+00  -6.258624e+00  -5.990230e+00
2.968950e+00  -7.839390e+00  -6.018904e+00  -6.407105e+00  -7.839390e+00
2.971740e+00  -6.130844e+00  -6.114175e+00  -6.759172e+00  -5.951930e+00
2.974512e+00  -6.130844e+00  -7.839390e+00  -6.692373e+00  -6.963499e+00
2.977266e+00  -6.571210e+00  -6.078749e+00  -6.407105e+00  -6.963499e+00
2.980003e+00  -7.839390e+00  -5.825587e+00  -6.571210e+00  -7.839390e+00
2.982723e+00  -6.190052e+00  -6.526726e+00  -6.759172e+00  -6.440455e+00
2.985426e+00  -7.839390e+00  -6.258624e+00  -6.440455e+00  -6.340092e+00
2.988113e+00  -6.440455e+00  -6.440455e+00  -6.963499e+00  -6.078749e+00
2.990783e+00  -6.963499e+00  -6.963499e+00  -6.759172e+00  -5.853896e+00
2.993436e+00  -6.526726e+00  -6.078749e+00  -7.097897e+00  -6.759172e+00
2.996074e+00  -6.571210e+00  -5.874656e+00  -6.236397e+00  -7.097897e+00
2.998695e+00  -6.963499e+00  -6.236397e+00  -6.963499e+00  -6.759172e+00
