# m=1, k=39.4784, p=2
# x0=2, v0=5
# t_start=0, t_end=15, h=0.001
#   t          x(t)               v(t)               KE(t)              PE(x(t)) 
1.0000  2.014939119460859e+00  4.383966941845051e+00  9.609583073595124e+00  8.014078614528172e+01
1.0100  2.055205930946368e+00  3.667715458637558e+00  6.726068342764455e+00  8.337587988524353e+01
1.0200  2.088262424907313e+00  2.942161596776460e+00  4.328157430773104e+00  8.607953043015108e+01
1.0300  2.114023265761904e+00  2.208837775965989e+00  2.439482160267188e+00  8.821638689019785e+01
1.0400  2.132418307862134e+00  1.469251830450613e+00  1.079350470641238e+00  8.975828501485297e+01
1.0500  2.143392418974060e+00  7.249009964809373e-01  2.627407273495280e-01  9.068451229177668e+01
1.0600  2.146905446671047e+00  -2.271355051580637e-02  2.579526885170439e-04  9.098202036834118e+01
1.0700  2.142932331385362e+00  -7.720719605026319e-01  2.980475560971888e-01  9.064558489776343e+01
1.0800  2.131463366325116e+00  -1.521621130436596e+00  1.157665432295572e+00  8.967791173903366e+01
1.0900  2.112504600914882e+00  -2.269760636390713e+00  2.575906673254388e+00  8.808968723933828e+01
1.1000  2.086078380916214e+00  -3.014829522205281e+00  4.544598523980260e+00  8.589956916981008e+01
1.1100  2.052224014984644e+00  -3.755094277666343e+00  7.050366517081257e+00  8.313411384033293e+01
1.1200  2.010998554177302e+00  -4.488738320841837e+00  1.007438585649700e+01  7.982763405486580e+01
1.1300  1.962477667892066e+00  -5.213853275754130e+00  1.359213299054604e+01  7.602198194940513e+01
1.1400  1.906756596944624e+00  -5.928432308375784e+00  1.757315481749692e+01  7.176625043832655e+01
1.1500  1.843951162019056e+00  -6.630365751418244e+00  2.198087499879001e+01  6.711638703144102e+01
1.1600  1.774198803601721e+00  -7.317439212019916e+00  2.677245831080332e+01  6.213471421363174e+01
1.1700  1.697659627763004e+00  -7.987334316767369e+00  3.189875474390483e+01  5.688935142941101e+01
1.1800  1.614517430817084e+00  -8.637632206087499e+00  3.730434506381999e+01  5.145353500041392e+01
1.1900  1.524980674990520e+00  -9.265819845556591e+00  4.292770870515518e+01  4.590483402372706e+01
1.2000  1.429283386783704e+00  -9.869299175744073e+00  4.870153311017133e+01  4.032426243552636e+01
1.2100  1.327685949726107e+00  -1.044539907552598e+01  5.455318092349954e+01  3.479528994297176e+01
1.2200  1.220475763710894e+00  -1.099139006706049e+01  6.040532780313804e+01  2.940275737527540e+01
1.2300  1.107967744043853e+00  -1.150450164451239e+01  6.617677904429409e+01  2.423170511262497e+01
1.2400  9.905046347460476e-01  -1.198194206383436e+01  7.178346781054162e+01  1.936612653315751e+01
1.2500  8.684571124923270e-01  -1.242092038813245e+01  7.713963164416222e+01  1.488766177270269e+01
1.2600  7.422236598257286e-01  -1.281867054300530e+01  8.215915724505589e+01  1.087425040650439e+01
1.2700  6.122301889312867e-01  -1.317247709935966e+01  8.675707646657735e+01  7.398764814315006e+00
1.2800  4.789294002465139e-01  -1.347970246813009e+01  9.085118931465621e+01  4.527648852389446e+00
1.2900  3.427998634891003e-01  -1.373781516257667e+01  9.436378272056068e+01  2.319588899059065e+00
1.3000  2.043448122497198e-01  -1.394441875984848e+01  9.722340727500706e+01  8.242462393801890e-01
1.3100  6.409064707957425e-02  -1.409728117466086e+01  9.936666825872372e+01  8.108099205746240e-02
1.3200  -7.741485405458230e-02  -1.419436384454714e+01  1.007399824756935e+02  1.182982553667688e-01
1.3300  -2.196046150264635e-01  -1.423385041843820e+01  1.013012488672367e+02  9.519467737597489e-01
1.3400  -3.618946234990703e-01  -1.421417453844217e+01  1.010213789046488e+02  2.585199142162569e+00
1.3500  -5.036865644619174e-01  -1.413404630870414e+01  9.988563252829663e+01  5.007840337021860e+00
1.3600  -6.443707102355899e-01  -1.399247705510093e+01  9.789470706876294e+01  8.195988188910549e+00
1.3700  -7.833290479335430e-01  -1.378880199516055e+01  9.506553023087184e+01  1.211206532095963e+01
1.3800  -9.199386216664474e-01  -1.352270045880285e+01  9.143171384925338e+01  1.670503713460244e+01
1.3900  -1.053575063308591e+00  -1.319421332700384e+01  8.704363265924292e+01  2.191092472713420e+01
1.4000  -1.183616282470222e+00  -1.280375738694806e+01  8.196810161191351e+01  2.765359530488612e+01
1.4100  -1.309446283481743e+00  -1.235213633822860e+01  7.628763605909371e+01  3.384582587145518e+01
1.4200  -1.430459074738356e+00  -1.184054822470176e+01  7.009929113074402e+01  4.039062890785829e+01
1.4300  -1.546062633714894e+00  -1.127058911015604e+01  6.351308944498396e+01  4.718282162607161e+01
1.4400  -1.655682889372335e+00  -1.064425286241975e+01  5.665005949956556e+01  5.411081338798846e+01
1.4500  -1.758767682565815e+00  -9.963926959268578e+00  4.963992022481959e+01  6.105857926328814e+01
1.4600  -1.854790664448188e+00  -9.232384279831589e+00  4.261845974524072e+01  6.790778167511691e+01
1.4700  -1.943255092755935e+00  -8.452770896435233e+00  3.572466791381125e+01  7.453999686485994e+01
1.4800  -2.023697486270906e+00  -7.628589933257508e+00  2.909769218489889e+01  8.083899869144268e+01
1.4900  -2.095691098670382e+00  -6.763681609073892e+00  2.287369445446220e+01  8.669304923538374e+01
1.5000  -2.158849174400480e+00  -5.862199631052453e+00  1.718269225715576e+01  9.199714393905202e+01
1.5100  -2.212827951118094e+00  -4.928584154303915e+00  1.214547088302782e+01  9.665515867904683e+01
1.5200  -2.257329375621848e+00  -3.967531567045501e+00  7.870653367751266e+00  1.005818472873844e+02
1.5300  -2.292103503003691e+00  -2.983961403162110e+00  4.452012827780595e+00  1.037046406214007e+02
1.5400  -2.316950551964531e+00  -1.982980722056839e+00  1.966106272024532e+00  1.059652022858047e+02
1.5500  -2.331722592808869e+00  -9.698463294393664e-01  4.703009513635060e-01  1.073207014439862e+02
1.5600  -2.336324848518715e+00  5.007475836958443e-02  1.253740712886133e-03  1.077447696835859e+02
1.5700  -2.330716593455839e+00  1.071346180344310e+00  5.738913190691717e-01  1.072281164457398e+02
1.5800  -2.314911638599548e+00  2.088503982471329e+00  2.180924442399301e+00  1.057787858744363e+02
1.5900  -2.288978396737589e+00  3.096098798578200e+00  4.792913885278685e+00  1.034220468490866e+02
1.6000  -2.253039525631359e+00  4.088737997275366e+00  8.358889205181686e+00  1.001999171659115e+02
1.6100  -2.207271151812670e+00  5.061127331805538e+00  1.280750493437452e+01  9.617033205657526e+01
1.6200  -2.151901682277022e+00  6.008111635486054e+00  1.804870271223145e+01  9.140597619808524e+01
1.6300  -2.087210215856851e+00  6.924714117338766e+00  2.397583280343540e+01  8.599280680643035e+01
1.6400  -2.013524570428308e+00  7.806173830265050e+00  3.046817493415746e+01  8.002830306503428e+01
1.6500  -1.931218946269174e+00  8.647980907494475e+00  3.739378688819448e+01  7.361948379115807e+01
1.6600  -1.840711249789255e+00  9.445909191689877e+00  4.461260022882565e+01  6.688074069606371e+01
1.6700  -1.742460105446953e+00  1.019604591463040e+01  5.197967614662567e+01  5.993153869563604e+01
1.6800  -1.636961586900170e+00  1.089481812335098e+01  5.934853097044849e+01  5.289403737022698e+01
1.6900  -1.524745701274711e+00  1.153901559046306e+01  6.657444039847476e+01  4.589068879736726e+01
1.7000  -1.406372662832811e+00  1.212580999153534e+01  7.351763397540920e+01  3.904186658034618e+01
1.7100  -1.282428994258437e+00  1.265277018024619e+01  8.004629661706360e+01  3.246357901068752e+01
1.7200  -1.153523495221049e+00  1.311787344186677e+01  8.603930181841673e+01  2.626531602165331e+01
1.7300  -1.020283118818885e+00  1.351951265680370e+01  9.138861123873774e+01  2.054807504463086e+01
1.7400  -8.833487969268161e-01  1.385649935771217e+01  9.600128722513887e+01  1.540260523972003e+01
1.7500  -7.433712553799837e-01  1.412806271536812e+01  9.980107804468742e+01  1.090790303587225e+01
1.7600  -6.010068593172156e-01  1.433384453934782e+01  1.027295496390956e+02  7.129984707273191e+00
1.7700  -4.569135278995315e-01  1.447389042890233e+01  1.047467520739352e+02  4.120954068490766e+00
1.7800  -3.117467560273243e-01  1.454863725655672e+01  1.058314230114351e+02  1.918375534115853e+00
1.7900  -1.661557786304025e-01  1.455889721126210e+01  1.059807440040476e+02  5.449549991387828e-01
1.8000  -2.077991062941999e-02  1.450583866878011e+01  1.052096777423382e+02  8.523482854107705e-03
1.8100  1.237549071973733e-01  1.439096419383034e+01  1.035499252140535e+02  3.023114516603588e-01
1.8200  2.668393294191479e-01  1.421608601088575e+01  1.010485507344508e+02  1.405495379450102e+00
1.8300  4.078835707166218e-01  1.398329930793002e+01  9.776632976757804e+01  3.283992572527015e+00
1.8400  5.463200944510327e-01  1.369495375963374e+01  9.377587923925321e+01  5.891475698794921e+00
1.8500  6.816060092358729e-01  1.335362367298196e+01  8.915963259981208e+01  9.170574901028337e+00
1.8600  8.132251617985216e-01  1.296207716918924e+01  8.400772227000853e+01  1.305423288612053e+01
1.8700  9.406899185867768e-01  1.252324482065273e+01  7.841583041900272e+01  1.746717697366173e+01
1.8800  1.063542632762659e+00  1.204018816068041e+01  7.248306547229440e+01  2.232747172983244e+01
1.8900  1.181356797373645e+00  1.151606847684323e+01  6.630991658167120e+01  2.754811644576469e+01
1.9000  1.293737889541513e+00  1.095411628616714e+01  5.999633180543604e+01  3.303865325426255e+01
1.9100  1.400323914404856e+00  1.035760187222136e+01  5.363995827172166e+01  3.870675400271892e+01
1.9200  1.500785661239112e+00  9.729807240765901e+00  4.733457447123028e+01  4.445975698293670e+01
1.9300  1.594826687607200e+00  9.073999822362721e+00  4.116873638811934e+01  5.020612811793774e+01
1.9400  1.682183050517939e+00  8.393408217669155e+00  3.522465075421805e+01  5.585682507300304e+01
1.9500  1.762622806346611e+00  7.691200244518654e+00  2.957728060064191e+01  6.132654684375377e+01
1.9600  1.835945303665702e+00  6.970463505907810e+00  2.429368074359630e+01  6.653485553328412e+01
1.9700  1.901980295113317e+00  6.234188655252456e+00  1.943255409463922e+01  7.140716112770976e+01
1.9800  1.960586895967463e+00  5.485255490389801e+00  1.504401389742573e+01  7.587556399278249e+01
